Time,Requests/s,Requests/hour
2018-01-17T03:16:42.000Z,280.2023024,1008728.3
2018-01-17T04:16:42.000Z,285.7883722,1028838.1
2018-01-17T05:16:42.000Z,285.1653745,1026595.4
2018-01-17T06:16:42.000Z,309.6666667,1114800.0
2018-01-17T07:16:42.000Z,356.4902703,1283365.0
2018-01-17T08:16:42.000Z,455.9152421,1641294.9
2018-01-17T09:16:42.000Z,534.8666667,1925520.0
2018-01-17T10:16:42.000Z,579.9375069,2087775.0
2018-01-17T11:16:42.000Z,574.5250228,2068290.1
2018-01-17T12:16:42.000Z,563.1918094,2027490.5
2018-01-17T13:16:42.000Z,587.3333333,2114400.0
2018-01-17T14:16:42.000Z,620.6592744,2234373.4
2018-01-17T15:16:42.000Z,592.4005917,2132642.1
2018-01-17T16:16:42.000Z,588.3385544,2118018.8
2018-01-17T17:16:42.000Z,508.1927649,1829494.0
2018-01-17T18:16:42.000Z,457.4038403,1646653.8
2018-01-17T19:16:42.000Z,411.5333333,1481520.0
2018-01-17T20:16:42.000Z,415.9333333,1497360.0
2018-01-17T21:16:42.000Z,443.069978,1595051.9
2018-01-17T22:16:42.000Z,360.930098,1299348.4
2018-01-17T23:16:42.000Z,316.1354179,1138087.5
2018-01-18T00:16:42.000Z,278.7981779,1003673.4
2018-01-18T01:16:42.000Z,284.583781,1024501.6
2018-01-18T02:16:42.000Z,285.6299261,1028267.7
2018-01-18T03:16:42.000Z,308.3358624,1110009.1
2018-01-18T04:16:42.000Z,324.9978446,1169992.2
2018-01-18T05:16:42.000Z,297.2686001,1070167.0
2018-01-18T06:16:42.000Z,338.0644313,1217032.0
2018-01-18T07:16:42.000Z,411.4693602,1481289.7
2018-01-18T08:16:42.000Z,449.0665515,1616639.6
2018-01-18T09:16:42.000Z,553.9289292,1994144.2
2018-01-18T10:16:42.000Z,571.2666667,2056560.0
2018-01-18T11:16:42.000Z,547.5998228,1971359.4
2018-01-18T12:16:42.000Z,540.6661694,1946398.2
2018-01-18T13:16:42.000Z,558.9926138,2012373.4
2018-01-18T14:16:42.000Z,591.3373958,2128814.6
2018-01-18T15:16:42.000Z,553.7958358,1993665.0
2018-01-18T16:16:42.000Z,615.6425501,2216313.2
2018-01-18T17:16:42.000Z,490.396818,1765428.5
2018-01-18T18:16:42.000Z,461.8032224,1662491.6
2018-01-18T19:16:42.000Z,443.9367513,1598172.3
2018-01-18T20:16:42.000Z,426.8004626,1536481.7
2018-01-18T21:16:42.000Z,412.8637246,1486309.4
2018-01-18T22:16:42.000Z,350.7604668,1262737.7
2018-01-18T23:16:42.000Z,313.2666667,1127760.0
2018-01-19T00:16:42.000Z,289.6327052,1042677.7
2018-01-19T01:16:42.000Z,272.6666667,981600.0
2018-01-19T02:16:42.000Z,293.0526664,1054989.6
2018-01-19T03:16:42.000Z,281.9497255,1015019.0
2018-01-19T04:16:42.000Z,282.4356356,1016768.3
2018-01-19T05:16:42.000Z,300.7437217,1082677.4
2018-01-19T06:16:42.000Z,336.8004818,1212481.7
2018-01-19T07:16:42.000Z,394.3142078,1419531.2
2018-01-19T08:16:42.000Z,461.0486674,1659775.2
