hour,group1,group2,group3,group4,group5
0,278268,69567,139134,104351,104351
1,255226,63806,127613,95710,95710
2,245565,61391,122783,92087,92087
3,267667,66917,133834,100375,100375
4,205978,51494,102989,77242,77242
5,199498,49874,99749,74812,74812
6,202264,50566,101132,75849,75849
7,194312,48578,97156,72867,72867
8,208829,52207,104414,78311,78311
9,230171,57543,115086,86314,86314
10,232848,58212,116424,87318,87318
11,240192,60048,120096,90072,90072
12,283910,70978,141955,106466,106466
13,273456,68364,136728,102546,102546
14,272506,68126,136253,102190,102190
15,289526,72382,144763,108572,108572
16,277690,69422,138845,104134,104134
17,293501,73375,146750,110063,110063
18,313542,78385,156771,117578,117578
19,301795,75449,150898,113173,113173
20,278640,69660,139320,104490,104490
21,290909,72727,145454,109091,109091
22,308362,77090,154181,115636,115636
23,272765,68191,136382,102287,102287
24,254275,63569,127138,95353,95353
25,244858,61214,122429,91822,91822
26,261101,65275,130550,97913,97913
27,216346,54086,108173,81130,81130
28,191808,47952,95904,71928,71928
29,195005,48751,97502,73127,73127
30,197942,49486,98971,74228,74228
31,201139,50285,100570,75427,75427
32,199843,49961,99922,74941,74941
33,219888,54972,109944,82458,82458
34,240624,60156,120312,90234,90234
35,230083,57521,115042,86281,86281
36,246845,61711,123422,92567,92567
37,265075,66269,132538,99403,99403
38,276826,69206,138413,103810,103810
39,289786,72446,144893,108670,108670
40,295661,73915,147830,110873,110873
41,293069,73267,146534,109901,109901
42,286589,71647,143294,107471,107471
43,289008,72252,144504,108378,108378
44,310608,77652,155304,116478,116478
45,308275,77069,154138,115603,115603
46,284256,71064,142128,106596,106596
47,264989,66247,132494,99371,99371
48,268531,67133,134266,100699,100699
49,244685,61171,122342,91757,91757
50,261619,65405,130810,98107,98107
51,296784,74196,148392,111294,111294
52,309053,77263,154526,115895,115895
53,297389,74347,148694,111521,111521
54,329184,82296,164592,123444,123444
55,347674,86918,173837,130378,130378
56,443232,110808,221616,166212,166212
57,545616,136404,272808,204606,204606
58,659146,164786,329573,247180,247180
59,722909,180727,361454,271091,271091
60,687139,171785,343570,257677,257677
61,669779,167445,334889,251167,251167
62,615497,153874,307748,230811,230811
63,728179,182045,364090,273067,273067
64,740254,185063,370127,277595,277595
