hour,group1,group2,group3,group4,group5
65,656381,164095,328190,246143,246143
66,587862,146965,293931,220448,220448
67,523038,130760,261519,196139,196139
68,521251,130313,260626,195469,195469
69,478371,119593,239186,179389,179389
70,474928,118732,237464,178098,178098
71,412131,103033,206066,154549,154549
72,364435,91109,182218,136663,136663
73,346289,86572,173144,129858,129858
74,338584,84646,169292,126969,126969
75,360029,90007,180014,135011,135011
76,367284,91821,183642,137731,137731
77,356403,89101,178201,133651,133651
78,344130,86033,172065,129049,129049
79,413341,103335,206671,155003,155003
80,489776,122444,244888,183666,183666
81,558035,139509,279017,209263,209263
82,713928,178482,356964,267723,267723
83,737942,184486,368971,276728,276728
84,714264,178566,357132,267849,267849
85,670550,167638,335275,251456,251456
86,744169,186042,372084,279063,279063
87,780970,195242,390485,292864,292864
88,788746,197186,394373,295780,295780
89,730685,182671,365342,274007,274007
90,636168,159042,318084,238563,238563
91,563096,140774,281548,211161,211161
92,513141,128285,256570,192428,192428
93,527822,131956,263911,197933,197933
94,563678,140920,281839,211379,211379
95,464449,116112,232224,174168,174168
96,410348,102587,205174,153881,153881
97,354934,88734,177467,133100,133100
98,347545,86886,173772,130329,130329
99,352730,88183,176365,132274,132274
100,363142,90786,181571,136178,136178
101,370382,92595,185191,138893,138893
102,369574,92394,184787,138590,138590
103,401328,100332,200664,150498,150498
104,462011,115503,231006,173254,173254
105,590866,147717,295433,221575,221575
106,693187,173297,346594,259945,259945
107,751599,187900,375799,281850,281850
108,744584,186146,372292,279219,279219
109,729897,182474,364948,273711,273711
110,761184,190296,380592,285444,285444
111,804375,201094,402187,301641,301641
112,767751,191938,383876,287907,287907
113,762487,190622,381243,285933,285933
114,658618,164655,329309,246982,246982
115,592796,148199,296398,222298,222298
116,533347,133337,266674,200005,200005
117,539050,134762,269525,202144,202144
118,574219,143555,287109,215332,215332
119,467765,116941,233883,175412,175412
120,409712,102428,204856,153642,153642
121,361322,90331,180661,135496,135496
122,368821,92205,184410,138308,138308
123,370176,92544,185088,138816,138816
124,399603,99901,199802,149851,149851
125,421197,105299,210599,157949,157949
126,385260,96315,192630,144473,144473
127,438132,109533,219066,164299,164299
128,533264,133316,266632,199974,199974
129,581990,145498,290995,218246,218246
130,717892,179473,358946,269210,269210
131,740362,185090,370181,277636,277636
132,709689,177422,354845,266133,266133
133,700703,175176,350352,262764,262764
134,724454,181114,362227,271670,271670
135,766373,191593,383187,287390,287390
136,717719,179430,358860,269145,269145
137,797873,199468,398936,299202,299202
138,635554,158889,317777,238333,238333
139,598497,149624,299249,224436,224436
140,575342,143836,287671,215753,215753
141,553134,138283,276567,207425,207425
142,535071,133768,267536,200652,200652
143,454586,113646,227293,170470,170470
144,405994,101498,202997,152248,152248
145,375364,93841,187682,140762,140762
146,353376,88344,176688,132516,132516
147,379796,94949,189898,142424,142424
148,365407,91352,182703,137028,137028
149,366036,91509,183018,137264,137264
150,389764,97441,194882,146161,146161
151,436494,109123,218247,163685,163685
152,511031,127758,255516,191637,191637
153,597519,149380,298759,224070,224070
154,706671,176668,353336,265002,265002
155,687098,171775,343549,257662,257662
156,661997,165499,330999,248249,248249
157,639866,159967,319933,239950,239950
158,698878,174720,349439,262079,262079
159,709176,177294,354588,265941,265941
160,675452,168863,337726,253294,253294
161,641014,160253,320507,240380,240380
162,567044,141761,283522,212642,212642
163,516758,129190,258379,193784,193784
164,483920,120980,241960,181470,181470
165,456630,114158,228315,171236,171236
166,488584,122146,244292,183219,183219
167,387272,96818,193636,145227,145227
168,335494,83873,167747,125810,125810
169,314659,78665,157330,117997,117997
170,283131,70783,141565,106174,106174
171,279852,69963,139926,104944,104944
172,289522,72381,144761,108571,108571
173,251396,62849,125698,94274,94274
174,250727,62682,125364,94023,94023
175,262348,65587,131174,98381,98381
176,255106,63777,127553,95665,95665
177,255832,63958,127916,95937,95937
178,279300,69825,139650,104738,104738
179,341883,85471,170941,128206,128206
180,309226,77306,154613,115960,115960
181,301272,75318,150636,112977,112977
182,322704,80676,161352,121014,121014
183,324139,81035,162069,121552,121552
184,332467,83117,166234,124675,124675
185,356139,89035,178069,133552,133552
186,323220,80805,161610,121208,121208
187,356988,89247,178494,133870,133870
188,326335,81584,163167,122376,122376
189,336096,84024,168048,126036,126036
190,305355,76339,152677,114508,114508
191,283044,70761,141522,106142,106142
192,288761,72190,144381,108285,108285
193,272333,68083,136166,102125,102125
194,273970,68493,136985,102739,102739
195,243988,60997,121994,91496,91496
196,236847,59212,118423,88818,88818
197,243992,60998,121996,91497,91497
198,238898,59724,119449,89587,89587
199,241484,60371,120742,90557,90557
200,228990,57248,114495,85871,85871
201,247622,61906,123811,92858,92858
202,273940,68485,136970,102728,102728
203,280303,70076,140152,105114,105114
204,284243,71061,142122,106591,106591
205,295143,73786,147571,110679,110679
206,310089,77522,155045,116283,116283
207,307327,76832,153664,115248,115248
208,351468,87867,175734,131800,131800
209,334145,83536,167073,125304,125304
210,351305,87826,175652,131739,131739
211,332675,83169,166337,124753,124753
212,336025,84006,168012,126009,126009
213,331794,82949,165897,124423,124423
214,312197,78049,156099,117074,117074
215,302308,75577,151154,113365,113365
216,291259,72815,145630,109222,109222
217,266883,66721,133441,100081,100081
218,287302,71826,143651,107738,107738
219,317782,79445,158891,119168,119168
220,336960,84240,168480,126360,126360
221,348103,87026,174052,130539,130539
222,354264,88566,177132,132849,132849
223,405996,101499,202998,152249,152249
224,479174,119794,239587,179690,179690
225,572054,143014,286027,214520,214520
226,695179,173795,347589,260692,260692
227,765438,191360,382719,287039,287039
228,724464,181116,362232,271674,271674
229,689589,172397,344794,258596,258596
230,732256,183064,366128,274596,274596
231,824602,206151,412301,309226,309226
232,807322,201830,403661,302746,302746
233,754022,188505,377011,282758,282758
234,660178,165044,330089,247567,247567
235,578057,144514,289029,216771,216771
236,570413,142603,285206,213905,213905
237,551852,137963,275926,206945,206945
238,516326,129082,258163,193622,193622
239,509242,127310,254621,190966,190966
240,426038,106510,213019,159764,159764
241,375581,93895,187790,140843,140843
242,364090,91022,182045,136534,136534
243,387501,96875,193750,145313,145313
244,385964,96491,192982,144737,144737
245,402019,100505,201010,150757,150757
246,430307,107577,215153,161365,161365
247,470938,117734,235469,176602,176602
248,516845,129211,258422,193817,193817
249,627350,156838,313675,235256,235256
250,740788,185197,370394,277796,277796
251,759462,189865,379731,284798,284798
252,731452,182863,365726,274295,274295
253,752841,188210,376421,282315,282315
254,826330,206582,413165,309874,309874
255,800150,200038,400075,300056,300056
256,845597,211399,422798,317099,317099
257,809309,202327,404654,303491,303491
258,679571,169893,339785,254839,254839
259,615491,153873,307745,230809,230809
260,587180,146795,293590,220193,220193
261,566789,141697,283394,212546,212546
262,525018,131255,262509,196882,196882
263,485306,121327,242653,181990,181990
264,419938,104985,209969,157477,157477
265,390013,97503,195007,146255,146255
266,375759,93940,187879,140910,140910
267,401238,100310,200619,150464,150464
268,401146,100287,200573,150430,150430
269,394500,98625,197250,147938,147938
270,402083,100521,201041,150781,150781
271,454330,113582,227165,170374,170374
272,516470,129118,258235,193676,193676
273,628992,157248,314496,235872,235872
274,713232,178308,356616,267462,267462
275,803496,200874,401748,301311,301311
276,735407,183852,367703,275778,275778
277,709085,177271,354542,265907,265907
278,781860,195465,390930,293198,293198
279,818202,204550,409101,306826,306826
280,813973,203493,406987,305240,305240
281,833328,208332,416664,312498,312498
282,674800,168700,337400,253050,253050
283,589228,147307,294614,220961,220961
284,589675,147419,294838,221128,221128
285,561616,140404,280808,210606,210606
286,547972,136993,273986,205490,205490
287,502389,125597,251195,188396,188396
288,429924,107481,214962,161222,161222
289,409204,102301,204602,153451,153451
290,412467,103117,206234,154675,154675
291,389251,97313,194626,145969,145969
292,411436,102859,205718,154288,154288
293,426122,106530,213061,159796,159796
294,425951,106488,212976,159732,159732
295,484164,121041,242082,181562,181562
296,552009,138002,276004,207003,207003
297,642696,160674,321348,241011,241011
298,719219,179805,359610,269707,269707
299,778378,194594,389189,291892,291892
300,724378,181094,362189,271642,271642
301,725501,181375,362750,272063,272063
302,784944,196236,392472,294354,294354
303,815347,203837,407673,305755,305755
304,682083,170521,341041,255781,255781
305,772675,193169,386338,289753,289753
306,650583,162646,325292,243969,243969
307,577523,144381,288762,216571,216571
308,542615,135654,271307,203481,203481
309,578707,144677,289354,217015,217015
310,629251,157313,314626,235969,235969
311,524707,131177,262354,196765,196765
312,419461,104865,209730,157298,157298
313,389488,97372,194744,146058,146058
314,400033,100008,200016,150012,150012
315,409938,102484,204969,153727,153727
316,412821,103205,206411,154808,154808
317,391390,97848,195695,146771,146771
318,358130,89533,179065,134299,134299
319,385447,96362,192723,144543,144543
320,461117,115279,230558,172919,172919
321,547910,136978,273955,205466,205466
322,649917,162479,324959,243719,243719
323,700963,175241,350482,262861,262861
324,645971,161493,322986,242239,242239
325,628408,157102,314204,235653,235653
326,708518,177130,354259,265694,265694
327,742219,185555,371110,278332,278332
328,695428,173857,347714,260786,260786
329,667793,166948,333896,250422,250422
330,597638,149410,298819,224114,224114
331,542840,135710,271420,203565,203565
332,507304,126826,253652,190239,190239
333,482026,120506,241013,180760,180760
334,468838,117209,234419,175814,175814
335,410135,102534,205067,153801,153801
336,368323,92081,184162,138121,138121
337,352914,88229,176457,132343,132343
338,305422,76356,152711,114533,114533
339,292537,73134,146269,109701,109701
340,277160,69290,138580,103935,103935
341,267235,66809,133618,100213,100213
342,268814,67204,134407,100805,100805
343,265160,66290,132580,99435,99435
344,278559,69640,139279,104460,104460
345,271974,67993,135987,101990,101990
346,325069,81267,162534,121901,121901
347,318389,79597,159195,119396,119396
348,319855,79964,159927,119946,119946
349,321255,80314,160627,120471,120471
350,360979,90245,180490,135367,135367
351,361780,90445,180890,135667,135667
352,350177,87544,175089,131316,131316
353,342054,85513,171027,128270,128270
354,337910,84477,168955,126716,126716
355,319853,79963,159926,119945,119945
356,323158,80790,161579,121184,121184
357,343773,85943,171886,128915,128915
358,299810,74953,149905,112429,112429
359,286898,71724,143449,107587,107587
360,309573,77393,154786,116090,116090
361,261695,65424,130847,98136,98136
362,258424,64606,129212,96909,96909
363,264120,66030,132060,99045,99045
364,239829,59957,119914,89936,89936
365,235360,58840,117680,88260,88260
366,231131,57783,115565,86674,86674
367,262207,65552,131103,98328,98328
368,258854,64714,129427,97070,97070
369,261262,65315,130631,97973,97973
370,277538,69385,138769,104077,104077
371,304408,76102,152204,114153,114153
372,302659,75665,151330,113497,113497
373,315870,78968,157935,118451,118451
374,334731,83683,167366,125524,125524
375,350116,87529,175058,131294,131294
376,342573,85643,171287,128465,128465
377,335324,83831,167662,125746,125746
378,348272,87068,174136,130602,130602
379,348636,87159,174318,130739,130739
380,338515,84629,169258,126943,126943
381,341992,85498,170996,128247,128247
382,346386,86597,173193,129895,129895
383,333781,83445,166890,125168,125168
384,301072,75268,150536,112902,112902
385,291491,72873,145745,109309,109309
386,332494,83124,166247,124685,124685
387,341744,85436,170872,128154,128154
388,359384,89846,179692,134769,134769
389,354998,88749,177499,133124,133124
390,378192,94548,189096,141822,141822
391,420077,105019,210038,157529,157529
392,539132,134783,269566,202175,202175
393,640658,160165,320329,240247,240247
394,722996,180749,361498,271123,271123
395,819086,204772,409543,307157,307157
396,755114,188779,377557,283168,283168
397,731026,182756,365513,274135,274135
398,805069,201267,402535,301901,301901
399,838260,209565,419130,314347,314347
400,866780,216695,433390,325043,325043
401,768874,192218,384437,288328,288328
402,668477,167119,334238,250679,250679
403,613872,153468,306936,230202,230202
404,601263,150316,300631,225474,225474
405,578370,144593,289185,216889,216889
406,559458,139864,279729,209797,209797
407,523124,130781,261562,196171,196171
408,453378,113345,226689,170017,170017
409,412220,103055,206110,154583,154583
410,416369,104092,208184,156138,156138
411,403979,100995,201990,151492,151492
412,413978,103495,206989,155242,155242
413,416488,104122,208244,156183,156183
414,440492,110123,220246,165185,165185
415,489638,122410,244819,183614,183614
416,546386,136597,273193,204895,204895
417,663466,165866,331733,248800,248800
418,731462,182866,365731,274298,274298
419,809011,202253,404505,303379,303379
420,753655,188414,376827,282621,282621
421,732348,183087,366174,274631,274631
422,787023,196756,393512,295134,295134
423,791193,197798,395597,296697,296697
424,808605,202151,404303,303227,303227
425,783228,195807,391614,293710,293710
426,693010,173252,346505,259879,259879
427,599857,149964,299928,224946,224946
428,593809,148452,296905,222678,222678
429,611708,152927,305854,229390,229390
430,586820,146705,293410,220058,220058
431,511638,127910,255819,191864,191864
432,454104,113526,227052,170289,170289
433,403347,100837,201674,151255,151255
434,383639,95910,191820,143865,143865
435,406941,101735,203471,152603,152603
436,419904,104976,209952,157464,157464
437,394302,98575,197151,147863,147863
438,430920,107730,215460,161595,161595
439,465440,116360,232720,174540,174540
440,513738,128434,256869,192652,192652
441,611300,152825,305650,229237,229237
442,747634,186909,373817,280363,280363
443,817441,204360,408720,306540,306540
444,734593,183648,367296,275472,275472
445,738410,184603,369205,276904,276904
446,784809,196202,392405,294303,294303
447,834943,208736,417472,313104,313104
448,754674,188669,377337,283003,283003
449,729088,182272,364544,273408,273408
450,686189,171547,343094,257321,257321
451,593173,148293,296586,222440,222440
452,561164,140291,280582,210436,210436
453,550109,137527,275055,206291,206291
454,524099,131025,262049,196537,196537
455,487584,121896,243792,182844,182844
456,437952,109488,218976,164232,164232
457,566000,141500,283000,212250,212250
458,592868,148217,296434,222326,222326
459,612510,153128,306255,229691,229691
460,621954,155489,310977,233233,233233
461,582191,145548,291095,218322,218322
462,564278,141069,282139,211604,211604
463,558922,139730,279461,209596,209596
464,627010,156753,313505,235129,235129
465,710732,177683,355366,266524,266524
466,793578,198395,396789,297592,297592
467,859939,214985,429970,322477,322477
468,818255,204564,409127,306846,306846
469,831346,207837,415673,311755,311755
470,876697,219174,438348,328761,328761
471,903682,225921,451841,338881,338881
472,879413,219853,439707,329780,329780
473,849231,212308,424616,318462,318462
474,817864,204466,408932,306699,306699
475,705705,176426,352853,264639,264639
476,706315,176579,353158,264868,264868
477,715034,178759,357517,268138,268138
478,712627,178157,356314,267235,267235
479,671246,167811,335623,251717,251717
480,602396,150599,301198,225898,225898
481,509843,127461,254922,191191,191191
482,607209,151802,303605,227703,227703
483,570979,142745,285490,214117,214117
484,548731,137183,274365,205774,205774
485,528641,132160,264320,198240,198240
486,508637,127159,254319,190739,190739
487,537037,134259,268519,201389,201389
488,608162,152040,304081,228061,228061
489,679142,169785,339571,254678,254678
490,736134,184034,368067,276050,276050
491,793732,198433,396866,297650,297650
492,769225,192306,384612,288459,288459
493,706207,176552,353104,264828,264828
494,763841,190960,381921,286440,286440
495,792358,198090,396179,297134,297134
496,810166,202542,405083,303812,303812
497,751003,187751,375502,281626,281626
498,684862,171216,342431,256823,256823
499,610979,152745,305489,229117,229117
500,602124,150531,301062,225797,225797
501,596480,149120,298240,223680,223680
502,538071,134518,269036,201777,201777
503,554740,138685,277370,208028,208028
504,500299,125075,250149,187612,187612
505,471910,117978,235955,176966,176966
506,462113,115528,231056,173292,173292
507,426949,106737,213474,160106,160106
508,433987,108497,216994,162745,162745
509,406151,101538,203075,152307,152307
510,390054,97514,195027,146270,146270
511,401895,100474,200947,150711,150711
512,362965,90741,181483,136112,136112
513,364692,91173,182346,136759,136759
514,379914,94979,189957,142468,142468
515,393759,98440,196880,147660,147660
516,353819,88455,176910,132682,132682
517,362964,90741,181482,136112,136112
518,374798,93699,187399,140549,140549
519,404610,101153,202305,151729,151729
520,432977,108244,216489,162366,162366
521,446173,111543,223086,167315,167315
522,429544,107386,214772,161079,161079
523,453789,113447,226895,170171,170171
524,438806,109701,219403,164552,164552
525,436922,109231,218461,163846,163846
526,453130,113283,226565,169924,169924
527,412776,103194,206388,154791,154791
528,456762,114190,228381,171286,171286
529,436838,109210,218419,163814,163814
530,528834,132209,264417,198313,198313
531,515016,128754,257508,193131,193131
532,463968,115992,231984,173988,173988
533,439376,109844,219688,164766,164766
534,412947,103237,206473,154855,154855
535,385066,96267,192533,144400,144400
536,358008,89502,179004,134253,134253
537,354326,88582,177163,132872,132872
538,337720,84430,168860,126645,126645
539,365701,91425,182851,137138,137138
540,392645,98161,196322,147242,147242
541,401668,100417,200834,150625,150625
542,448799,112200,224400,168300,168300
543,459976,114994,229988,172491,172491
544,476269,119067,238135,178601,178601
545,478164,119541,239082,179312,179312
546,504317,126079,252158,189119,189119
547,519426,129856,259713,194785,194785
548,516479,129120,258239,193680,193680
549,515395,128849,257697,193273,193273
550,539422,134856,269711,202283,202283
551,507688,126922,253844,190383,190383
552,458793,114698,229396,172047,172047
553,428182,107046,214091,160568,160568
554,477792,119448,238896,179172,179172
555,470488,117622,235244,176433,176433
556,512271,128068,256136,192102,192102
557,508044,127011,254022,190517,190517
558,540696,135174,270348,202761,202761
559,512611,128153,256306,192229,192229
560,590334,147583,295167,221375,221375
561,649863,162466,324932,243699,243699
562,762143,190536,381072,285804,285804
563,812298,203075,406149,304612,304612
564,783826,195957,391913,293935,293935
565,811031,202758,405516,304137,304137
566,808291,202073,404146,303109,303109
567,882829,220707,441415,331061,331061
568,872883,218221,436441,327331,327331
569,866765,216691,433382,325037,325037
570,775384,193846,387692,290769,290769
571,720597,180149,360299,270224,270224
572,691944,172986,345972,259479,259479
573,713951,178488,356975,267732,267732
574,681269,170317,340635,255476,255476
575,633274,158319,316637,237478,237478
576,587260,146815,293630,220223,220223
577,545270,136318,272635,204476,204476
578,567971,141993,283985,212989,212989
579,528595,132149,264298,198223,198223
580,545728,136432,272864,204648,204648
581,557918,139480,278959,209219,209219
582,550105,137526,275052,206289,206289
583,561052,140263,280526,210395,210395
584,616455,154114,308227,231171,231171
585,741399,185350,370700,278025,278025
586,875876,218969,437938,328454,328454
587,876857,219214,438428,328821,328821
588,887251,221813,443625,332719,332719
589,918173,229543,459086,344315,344315
590,886215,221554,443107,332331,332331
591,987058,246765,493529,370147,370147
592,512448,128112,256224,192168,192168
593,919389,229847,459694,344771,344771
594,808678,202169,404339,303254,303254
595,744595,186149,372298,279223,279223
596,778026,194507,389013,291760,291760
597,704432,176108,352216,264162,264162
598,695261,173815,347630,260723,260723
599,634163,158541,317082,237811,237811
600,586397,146599,293198,219899,219899
601,576802,144201,288401,216301,216301
602,577420,144355,288710,216533,216533
603,576979,144245,288490,216367,216367
604,576990,144247,288495,216371,216371
605,541382,135346,270691,203018,203018
606,571882,142970,285941,214456,214456
607,615634,153908,307817,230863,230863
608,633874,158468,316937,237703,237703
609,772330,193082,386165,289624,289624
610,861622,215406,430811,323108,323108
611,881890,220473,440945,330709,330709
612,838858,209714,419429,314572,314572
613,837392,209348,418696,314022,314022
614,877509,219377,438755,329066,329066
615,895754,223939,447877,335908,335908
616,938650,234662,469325,351994,351994
617,922061,230515,461030,345773,345773
618,847670,211918,423835,317876,317876
619,782778,195695,391389,293542,293542
620,724116,181029,362058,271544,271544
621,716942,179236,358471,268853,268853
622,744059,186015,372029,279022,279022
623,710566,177641,355283,266462,266462
624,647350,161838,323675,242756,242756
625,622638,155660,311319,233489,233489
626,635126,158782,317563,238172,238172
627,626889,156722,313444,235083,235083
628,612956,153239,306478,229859,229859
629,644456,161114,322228,241671,241671
630,588327,147082,294163,220623,220623
631,631152,157788,315576,236682,236682
632,679730,169933,339865,254899,254899
633,745289,186322,372645,279483,279483
634,893103,223276,446552,334914,334914
635,898233,224558,449117,336837,336837
636,886445,221611,443223,332417,332417
637,855741,213935,427871,320903,320903
638,949170,237293,474585,355939,355939
639,951060,237765,475530,356648,356648
640,941235,235309,470617,352963,352963
641,902916,225729,451458,338594,338594
642,715439,178860,357720,268290,268290
643,752842,188210,376421,282316,282316
644,707098,176774,353549,265162,265162
645,695051,173763,347526,260644,260644
646,689762,172441,344881,258661,258661
647,652596,163149,326298,244723,244723
648,576720,144180,288360,216270,216270
649,558574,139644,279287,209465,209465
650,609253,152313,304627,228470,228470
651,563803,140951,281902,211426,211426
652,562615,140654,281307,210981,210981
653,542908,135727,271454,203591,203591
654,551635,137909,275818,206863,206863
655,596195,149049,298098,223573,223573
656,662340,165585,331170,248378,248378
657,762826,190706,381413,286060,286060
658,811284,202821,405642,304232,304232
659,826173,206543,413086,309815,309815
660,834470,208617,417235,312926,312926
661,836785,209196,418392,313794,313794
662,865896,216474,432948,324711,324711
663,955794,238948,477897,358423,358423
664,1016869,254217,508435,381326,381326
665,937958,234490,468979,351734,351734
666,841514,210378,420757,315568,315568
667,825268,206317,412634,309476,309476
668,801040,200260,400520,300390,300390
669,759978,189994,379989,284992,284992
670,767311,191828,383655,287742,287742
671,716066,179017,358033,268525,268525
672,681284,170321,340642,255482,255482
673,661059,165265,330530,247897,247897
674,665916,166479,332958,249718,249718
675,618844,154711,309422,232066,232066
676,606528,151632,303264,227448,227448
677,568536,142134,284268,213201,213201
678,530954,132738,265477,199108,199108
679,482180,120545,241090,180817,180817
680,423906,105977,211953,158965,158965
681,441264,110316,220632,165474,165474
682,449273,112318,224636,168477,168477
683,450628,112657,225314,168985,168985
684,435953,108988,217977,163482,163482
685,463632,115908,231816,173862,173862
686,488271,122068,244135,183102,183102
687,511120,127780,255560,191670,191670
688,538960,134740,269480,202110,202110
689,511434,127858,255717,191788,191788
690,590527,147632,295264,221448,221448
691,582532,145633,291266,218450,218450
692,604008,151002,302004,226503,226503
693,597202,149301,298601,223951,223951
694,579076,144769,289538,217154,217154
695,559845,139961,279922,209942,209942
696,539902,134976,269951,202463,202463
697,543913,135978,271956,203967,203967
698,554678,138670,277339,208004,208004
699,577109,144277,288555,216416,216416
700,570278,142569,285139,213854,213854
701,507626,126907,253813,190360,190360
702,464395,116099,232197,174148,174148
703,448832,112208,224416,168312,168312
704,406253,101563,203126,152345,152345
705,404631,101158,202315,151737,151737
706,400894,100224,200447,150335,150335
707,393628,98407,196814,147610,147610
708,418716,104679,209358,157018,157018
709,438962,109740,219481,164611,164611
710,475257,118814,237629,178221,178221
711,494972,123743,247486,185615,185615
712,541366,135341,270683,203012,203012
713,523508,130877,261754,196316,196316
714,560640,140160,280320,210240,210240
715,610713,152678,305356,229017,229017
716,620614,155153,310307,232730,232730
717,611962,152991,305981,229486,229486
718,620700,155175,310350,232762,232762
719,616982,154246,308491,231368,231368
720,590573,147643,295286,221465,221465
721,568563,142141,284282,213211,213211
722,571056,142764,285528,214146,214146
723,597291,149323,298646,223984,223984
724,604962,151241,302481,226861,226861
725,604691,151173,302346,226759,226759
726,576440,144110,288220,216165,216165
727,575936,143984,287968,215976,215976
728,599878,149969,299939,224954,224954
729,733347,183337,366673,275005,275005
730,868997,217249,434498,325874,325874
731,876728,219182,438364,328773,328773
732,868168,217042,434084,325563,325563
733,901964,225491,450982,338236,338236
734,940985,235246,470492,352869,352869
735,1002921,250730,501460,376095,376095
736,965602,241401,482801,362101,362101
737,825815,206454,412907,309681,309681
738,815225,203806,407612,305709,305709
739,778813,194703,389406,292055,292055
740,768956,192239,384478,288359,288359
741,772336,193084,386168,289626,289626
742,711406,177852,355703,266777,266777
743,685788,171447,342894,257171,257171
744,619605,154901,309802,232352,232352
745,648650,162162,324325,243244,243244
746,628657,157164,314329,235746,235746
747,617102,154276,308551,231413,231413
748,585957,146489,292978,219734,219734
749,620910,155228,310455,232841,232841
750,632245,158061,316122,237092,237092
751,632553,158138,316276,237207,237207
752,779341,194835,389670,292253,292253
753,841710,210428,420855,315641,315641
754,870235,217559,435117,326338,326338
755,844436,211109,422218,316663,316663
756,826400,206600,413200,309900,309900
757,889751,222438,444875,333657,333657
758,917482,229371,458741,344056,344056
759,875015,218754,437508,328131,328131
760,914774,228694,457387,343040,343040
761,749536,187384,374768,281076,281076
762,715839,178960,357919,268440,268440
763,690418,172605,345209,258907,258907
764,699905,174976,349953,262464,262464
765,669063,167266,334532,250899,250899
766,667812,166953,333906,250430,250430
767,609217,152304,304608,228456,228456
768,565693,141423,282846,212135,212135
769,570308,142577,285154,213866,213866
770,542514,135628,271257,203443,203443
771,563910,140978,281955,211466,211466
772,560144,140036,280072,210054,210054
773,559782,139946,279891,209918,209918
774,557377,139344,278688,209016,209016
775,627550,156888,313775,235331,235331
776,724674,181168,362337,271753,271753
777,863022,215756,431511,323633,323633
778,871417,217854,435708,326781,326781
779,839756,209939,419878,314909,314909
780,810864,202716,405432,304074,304074
781,863574,215893,431787,323840,323840
782,923888,230972,461944,346458,346458
783,927647,231912,463823,347868,347868
784,865246,216311,432623,324467,324467
785,773868,193467,386934,290201,290201
786,737306,184327,368653,276490,276490
787,713864,178466,356932,267699,267699
788,681868,170467,340934,255701,255701
789,667193,166798,333597,250197,250197
790,625071,156268,312535,234402,234402
791,577412,144353,288706,216530,216530
792,548680,137170,274340,205755,205755
793,514034,128509,257017,192763,192763
794,495701,123925,247851,185888,185888
795,510639,127660,255320,191490,191490
796,479343,119836,239671,179754,179754
797,517452,129363,258726,194044,194044
798,498728,124682,249364,187023,187023
799,560902,140226,280451,210338,210338
800,660505,165126,330253,247689,247689
801,797265,199316,398633,298974,298974
802,860874,215218,430437,322828,322828
803,863813,215953,431906,323930,323930
804,819634,204909,409817,307363,307363
805,829034,207258,414517,310888,310888
806,866096,216524,433048,324786,324786
807,919461,229865,459730,344798,344798
808,828113,207028,414057,310542,310542
809,834425,208606,417213,312909,312909
810,611844,152961,305922,229442,229442
811,631123,157781,315561,236671,236671
812,609664,152416,304832,228624,228624
813,590122,147531,295061,221296,221296
814,544942,136235,272471,204353,204353
815,485921,121480,242960,182220,182220
816,498124,124531,249062,186797,186797
817,460684,115171,230342,172757,172757
818,403382,100845,201691,151268,151268
819,414860,103715,207430,155573,155573
820,396902,99225,198451,148838,148838
