hour,totalConsumption,group1,group2,group3,group4,group5
131,114850, 16288,7404,74777,8607,7774
132,114970, 16323,7274,74872,8782,7719
133,114743, 16117,7358,74976,8671,7621
134,115639, 15937,7425,75705,8693,7879
135,116968, 16860,7471,76255,8622,7760
136,116363, 16508,7357,76079,8613,7806
137,117085, 16755,7379,76196,8677,8078
138,116625, 16525,7309,76585,8580,7626
139,117005, 16159,7331,76907,8753,7855
140,116793, 16109,7192,77095,8630,7767
141,117194, 16041,7328,77439,8712,7674
142,117048, 16052,7358,77586,8628,7424
143,117453, 15911,7387,77961,8694,7500
144,113933, 15834,7308,74500,8678,7613
145,110732, 12387,7414,74885,8586,7460
146,111048, 12368,7420,75093,8614,7553
147,108006, 12534,7406,75390,8688,3988
148,108388, 12424,7399,75822,8633,4110
149,108759, 12445,7413,76135,8648,4118
150,108988, 12473,7406,76393,8623,4093
151,109340, 12221,7529,76823,8675,4092
152,109553, 12265,7538,76910,8624,4216
153,110839, 12548,7619,77677,8739,4256
154,111213, 12720,7774,77734,8745,4240
155,110967, 12368,7730,77985,8761,4123
156,111629, 12578,7778,78116,8689,4468
157,111977, 12797,7518,78704,8638,4320
158,112083, 12580,7688,78974,8649,4192
159,112848, 12765,7623,79428,8776,4256
160,112968, 12833,7599,79365,8612,4559
161,113620, 12820,7692,80127,8654,4327
162,113195, 12475,7797,79953,8718,4252
163,113494, 12402,7752,80357,8720,4263
164,113178, 12098,7622,80573,8711,4174
165,114158, 12329,7763,81052,8733,4281
166,113842, 12215,7696,81106,8611,4214
167,114438, 12393,7745,81521,8568,4211
168,114571, 12413,7632,81693,8681,4152
169,114654, 12271,7788,81969,8614,4012
170,114702, 12174,7786,82107,8600,4035
171,115439, 12314,7766,82557,8605,4197
172,115411, 12160,7745,82803,8577,4126
173,115925, 12319,7793,83086,8579,4148
174,116273, 12285,7835,83367,8650,4136
175,116450, 12331,7739,83689,8658,4033
176,116870, 12245,7845,84056,8610,4114
177,117139, 12280,7803,84297,8634,4125
178,117586, 12290,7890,84628,8589,4189
179,117820, 12308,7863,84957,8590,4102
180,118201, 12369,7885,85191,8581,4175
181,135160, 28923,7909,85561,8586,4181
182,135696, 29043,7987,85839,8592,4235
183,135813, 28848,8022,86058,8630,4255
184,136062, 28924,7979,86442,8603,4114
185,136891, 29204,8013,86719,8681,4274
186,136963, 29089,8080,86946,8606,4242
187,137619, 29273,8032,87462,8568,4284
188,137593, 29044,8078,87621,8566,4284
189,137965, 29240,7982,87889,8570,4284
190,138211, 29009,8093,88399,8588,4122
191,164450, 55194,8067,88451,8598,4140
192,165280, 55442,8014,88938,8663,4223
193,165069, 55011,8102,89189,8579,4188
194,165717, 55342,8082,89451,8630,4212
195,165393, 54897,8113,89666,8601,4116
196,165704, 54712,8112,90002,8615,4263
197,166066, 54898,8174,90277,8601,4116
198,166810, 55186,8182,90542,8600,4300
199,166624, 54816,8151,90798,8603,4256
200,164413, 54499,7614,91137,8587,2576
201,164823, 54477,7614,91496,8636,2600
202,165595, 54787,7601,91907,8629,2671
203,165449, 54379,7638,92080,8619,2733
204,165928, 54574,7675,92380,8634,2665
205,166387, 54897,7674,92527,8633,2656
206,166400, 54575,7674,92872,8605,2674
207,166573, 54397,7760,93121,8644,2651
208,167649, 54828,7820,93666,8567,2768
209,167405, 54465,7769,93894,8646,2631
210,168232, 54804,7817,94150,8695,2766
211,168085, 54559,7818,94480,8608,2620
212,168725, 54772,7812,94926,8569,2646
213,168510, 54415,7880,94893,8585,2737
214,169171, 54634,7805,95376,8663,2693
215,169709, 54718,7860,95681,8616,2834
216,169658, 54465,7864,95969,8629,2731
217,169905, 54445,7940,96211,8607,2702
218,170335, 54587,7901,96534,8619,2694
219,170767, 54658,7865,96923,8580,2741
220,171429, 54925,7919,97213,8592,2780
221,171486, 54653,8006,97470,8616,2741
222,171729, 54557,7971,97777,8635,2789
223,172497, 54810,8018,98251,8678,2740
224,172983, 55105,8146,98231,8625,2876
225,173333, 54917,8151,98680,8581,3004
226,173619, 54919,8168,99062,8603,2867
227,174902, 55877,8037,99507,8611,2870
228,173781, 54335,8150,99614,8694,2988
229,174982, 54477,8275,100334,8792,3104
230,175375, 54919,8238,100685,8787,2746
231,177083, 56073,8246,101014,8658,3092
232,177108, 55706,8275,101319,8780,3028
233,176158, 55043,8106,101416,8765,2828
234,177010, 55455,8252,101668,8665,2970
235,177465, 55494,8238,102028,8671,3034
236,176899, 54760,8271,102104,8770,2994
237,176870, 54634,8278,102368,8692,2898
238,177874, 55247,8261,102749,8713,2904
239,178045, 54999,8275,103122,8593,3056
240,178084, 54958,8308,103315,8627,2876
241,178071, 54835,8357,103472,8591,2816
242,178359, 54613,8374,103766,8602,3004
243,178589, 54638,8428,104044,8573,2906
244,178797, 54421,8395,104403,8684,2894
245,179352, 54675,8342,104726,8593,3016
246,179868, 54649,8391,105210,8714,2904
247,180310, 55100,8477,105254,8653,2826
248,180832, 54785,8528,105695,8722,3102
249,181227, 55207,8469,106023,8704,2824
250,182049, 55559,8519,106303,8612,3056
251,181986, 55440,8544,106325,8829,2848
252,182404, 54858,8595,107157,8777,3017
253,182564, 54957,8469,107280,8752,3106
254,184065, 56191,8677,107423,8676,3098
255,183734, 55210,8802,108020,8702,3000
256,183916, 54964,8667,108236,8879,3170
257,184622, 55842,8498,108447,8801,3034
258,184842, 55724,8664,108731,8665,3058
259,184108, 54778,8616,108942,8771,3001
260,184742, 55195,8661,109216,8588,3082
261,184844, 54979,8785,109390,8714,2976
262,185397, 55127,8663,109991,8663,2953
263,185448, 54840,8614,110164,8736,3094
264,185822, 55012,8714,110443,8661,2992
265,185745, 54602,8678,110764,8629,3072
266,185624, 54485,8736,110848,8596,2959
267,186225, 54568,8727,111344,8576,3010
268,186481, 54555,8825,111518,8575,3008
269,187140, 54836,8777,111841,8580,3106
270,187019, 54682,8746,111980,8595,3016
271,188036, 54974,8860,112447,8689,3066
272,188576, 55263,8909,112591,8715,3098
273,189327, 55352,8963,113219,8727,3066
274,190345, 55633,8915,113761,8826,3210
275,190427, 55440,8838,114096,8738,3315
276,190012, 55156,9008,113989,8825,3034
277,190653, 55308,8864,114516,8775,3190
278,191067, 55512,8991,114543,8796,3225
279,191254, 55637,9000,114958,8591,3068
280,192097, 55350,8953,115585,8852,3357
281,191874, 55000,9167,115833,8750,3124
282,192234, 55333,8942,116066,8604,3289
283,192161, 55388,8985,116077,8617,3094
284,192751, 55430,9140,116461,8624,3096
285,192774, 55038,9126,116816,8635,3159
286,193092, 55345,9042,116992,8631,3082
287,166605, 28636,9043,117057,8666,3203
288,166756, 28375,9028,117584,8706,3063
289,167058, 28644,9105,117647,8593,3069
290,167772, 28873,9178,117966,8662,3093
291,167476, 28416,9050,118332,8612,3066
292,168176, 28801,9155,118494,8640,3086
293,168264, 28550,9161,118888,8629,3036
294,168411, 28539,9158,119053,8626,3035
295,184406, 28566,9199,134840,8715,3086
296,184714, 28152,9246,135517,8694,3105
297,186301, 28921,9319,136252,8676,3133
298,187357, 28769,9350,137371,8631,3236
299,187881, 28800,9341,137773,8757,3210
300,187978, 28251,9417,138357,8693,3260
301,188992, 28295,9431,139296,8706,3264
302,172983, 11774,9420,139720,8831,3238
303,174485, 12230,9377,140647,8867,3364
304,174186, 11595,9378,141191,8697,3325
305,175109, 11590,9466,142172,8693,3188
306,175576, 11710,9433,142478,8783,3172
307,176651, 12128,9385,143226,8663,3249
308,177232, 11938,9496,143793,8750,3255
309,177302, 11574,9404,144388,8681,3255
310,96826, 11956,9596,63239,8731,3304
311,97333, 12068,9445,64014,8658,3148
312,96948, 11745,9438,63968,8651,3146
313,97618, 11685,9446,64656,8617,3214
314,98109, 11601,9501,65006,8701,3300
315,98694, 11888,9531,65591,8609,3075
316,99179, 11972,9598,65844,8669,3096
317,99658, 11742,9491,66537,8659,3229
318,100187, 11818,9580,66971,8595,3223
319,100892, 11949,9637,67453,8673,3180
320,101445, 11989,9684,68014,8646,3112
321,102049, 12054,9589,68489,8630,3287
322,102850, 11699,9749,69216,8774,3412
323,87356, 11916,3154,62035,8674,1577
324,87205, 11627,3068,62336,8721,1453
325,88370, 11940,3142,63155,8719,1414
326,88830, 12045,3011,63412,8768,1594
327,88881, 11876,3154,63831,8628,1392
328,89449, 11822,3129,64327,8606,1565
329,90570, 12020,3172,65110,8765,1503
330,90542, 11953,3138,65142,8740,1569
331,90924, 11942,3121,65683,8753,1425
332,91188, 11668,3044,66203,8751,1522
333,91706, 12051,3013,66520,8676,1446
334,91833, 11721,3047,67043,8615,1407
335,92434, 11894,3076,67467,8613,1384
336,92864, 11786,3039,67956,8702,1381
337,93257, 11646,3088,68465,8602,1456
338,93496, 11606,3054,68872,8590,1374
339,94197, 11701,3072,69332,8666,1426
340,94477, 11641,3049,69705,8627,1455
341,95002, 11758,3073,70150,8618,1403
342,95529, 11828,3024,70698,8568,1411
343,95954, 11667,3049,71195,8651,1392
344,96380, 11699,3064,71589,8566,1462
345,96687, 11695,3060,71937,8567,1428
346,97398, 11702,3088,72490,8655,1463
347,97747, 11780,3025,72912,8597,1433
348,98356, 11835,3039,73407,8636,1439
349,98946, 11886,3052,73888,8674,1446
350,99494, 11912,3068,74362,8663,1489
351,99715, 11577,3075,74888,8683,1492
352,100369, 11906,3064,75288,8667,1444
353,100478, 11630,3078,75765,8594,1411
354,101247, 11827,3041,76368,8617,1394
355,101713, 11835,3039,76764,8636,1439
356,101997, 11634,3070,77235,8604,1454
357,102530, 11688,3094,77693,8637,1418
358,102986, 11693,3073,78101,8657,1462
359,103391, 11763,3012,78610,8607,1399
360,103862, 11764,3018,79096,8591,1393
361,104220, 11776,3010,79424,8636,1374
362,104597, 11629,3036,79853,8625,1454
363,104954, 11621,3037,80292,8617,1387
364,105585, 11752,3058,80702,8634,1439
365,104676, 11768,3060,81199,8649,0
366,105020, 11788,3062,81589,8581,0
367,105537, 11799,3015,82070,8653,0
368,106000, 11648,0,82704,11648,0
369,106498, 11757,0,83082,11659,0
370,106991, 11657,0,83677,11657,0
371,107533, 11872,0,84017,11644,0
372,107823, 11804,0,84442,11577,0
373,108264, 11687,0,84969,11608,0
374,108746, 11716,0,85356,11674,0
375,109542, 11904,0,85953,11685,0
376,109666, 11647,0,86329,11690,0
377,110279, 11736,0,86849,11694,0
378,110707, 11841,0,87242,11624,0
379,122328, 11854,11156,87682,11636,0
380,122881, 11848,11171,88183,11679,0
381,122989, 11628,11115,88576,11670,0
382,123833, 11777,11171,89194,11691,0
383,124125, 11682,11182,89620,11641,0
384,124532, 11742,11140,90021,11629,0
385,124904, 11660,11150,90507,11587,0
386,125309, 11637,11139,90937,11596,0
387,125718, 11619,11192,91245,11662,0
388,126414, 11860,11141,91823,11590,0
389,126956, 11715,11182,92477,11582,0
390,127356, 11724,11157,92846,11629,0
391,127808, 11762,11132,93257,11657,0
392,128583, 11861,11187,93809,11726,0
393,129333, 12173,11212,94176,11772,0
394,129868, 12291,11206,94713,11658,0
395,130644, 12286,11262,95424,11672,0
396,130352, 12082,11138,95522,11610,0
397,130762, 11696,11148,96130,11788,0
398,131729, 12076,11271,96608,11774,0
399,131923, 11736,11317,97239,11631,0
400,132618, 12135,11268,97513,11702,0
401,133303, 12302,11149,98031,11821,0
402,133278, 12033,11197,98266,11782,0
403,133747, 11664,11203,99140,11740,0
404,134381, 12025,11123,99508,11725,0
405,134761, 12146,11134,99769,11712,0
406,134830, 11749,11189,100143,11749,0
407,135424, 12032,11116,100702,11574,0
408,135843, 11788,11221,101103,11731,0
409,136084, 11954,11130,101406,11594,0
410,136517, 11658,11138,102011,11710,0
411,136999, 11715,11210,102409,11665,0
412,137492, 11591,11177,103081,11643,0
413,138014, 11662,11141,103497,11714,0
414,138478, 11893,11122,103735,11728,0
415,138934, 11751,11139,104293,11751,0
416,139807, 12020,11201,104907,11679,0
417,139908, 11942,11113,105159,11694,0
418,140715, 11703,11155,106062,11795,0
419,144712, 12135,11124,109621,11832,0
420,145171, 12058,11116,110410,11587,0
421,145280, 11718,11168,110585,11809,0
422,145796, 11805,11215,110971,11805,0
423,146568, 11868,11274,111558,11868,0
424,147470, 12129,11118,112397,11826,0
425,147050, 11748,11161,112393,11748,0
426,148044, 11781,11261,113307,11695,0
427,148914, 11997,11247,113973,11697,0
428,148600, 11876,11134,114011,11579,0
429,149180, 11622,11164,114695,11699,0
430,150153, 11736,11150,115604,11663,0
431,150486, 11768,11128,115886,11704,0
432,127377, 0,11126,116251,0,0
433,128164, 0,11193,116971,0,0
434,128520, 0,11126,117394,0,0
435,129000, 0,11191,117809,0,0
436,129540, 0,11127,118413,0,0
437,130218, 0,11139,119079,0,0
438,130569, 0,11204,119365,0,0
439,131254, 0,11171,120083,0,0
440,131903, 0,11174,120729,0,0
441,132498, 0,11156,121342,0,0
442,132706, 0,11215,121491,0,0
443,133856, 0,11240,122616,0,0
444,134247, 0,11203,123044,0,0
445,134575, 0,11261,123314,0,0
446,135576, 0,11184,124392,0,0
447,136096, 0,11272,124824,0,0
448,136407, 0,11131,125276,0,0
449,136887, 0,11119,125768,0,0
450,137067, 0,11151,125916,0,0
451,126642, 0,0,126642,0,0
452,127103, 0,0,127103,0,0
453,127626, 0,0,127626,0,0
454,128404, 0,0,128404,0,0
455,128722, 0,0,128722,0,0
456,129414, 0,0,129414,0,0
457,129897, 0,0,129897,0,0
458,130431, 0,0,130431,0,0
459,131077, 0,0,131077,0,0
460,131855, 0,0,131855,0,0
461,132157, 0,0,132157,0,0
462,132605, 0,0,132605,0,0
463,133024, 0,0,133024,0,0
464,133553, 0,0,133553,0,0
465,134328, 0,0,134328,0,0
466,134908, 0,0,134908,0,0
467,135441, 0,0,135441,0,0
468,135830, 0,0,135830,0,0
469,136340, 0,0,136340,0,0
470,137203, 0,0,137203,0,0
471,137811, 0,0,137811,0,0
472,138068, 0,0,138068,0,0
473,138849, 0,0,138849,0,0
474,138628, 0,0,138628,0,0
475,139730, 0,0,139730,0,0
476,140203, 0,0,140203,0,0
477,140861, 0,0,140861,0,0
478,141457, 0,0,141457,0,0
479,141968, 0,0,141968,0,0
480,141864, 0,0,141864,0,0
481,142757, 0,0,142757,0,0
482,143605, 0,0,143605,0,0
483,144172, 0,0,144172,0,0
484,144316, 0,0,144316,0,0
485,145111, 0,0,145111,0,0
486,148523, 0,0,145471,0,3052
487,149096, 0,0,146075,0,3021
488,149531, 0,0,146566,0,2965
489,103909, 0,0,100853,0,3056
490,104256, 0,0,101219,0,3037
491,104575, 0,0,101598,0,2977
492,105095, 0,0,101922,0,3173
493,105932, 0,0,102754,0,3178
494,106270, 0,0,103119,0,3151
495,106374, 0,0,103403,0,2971
496,107144, 0,0,104106,0,3038
497,107488, 0,0,104390,0,3098
498,108208, 0,0,105126,0,3082
499,108373, 0,0,105394,0,2979
500,109135, 0,0,105974,0,3161
501,109306, 0,0,106174,0,3132
502,109834, 0,0,106807,0,3027
503,110185, 0,0,107065,0,3120
504,110566, 0,0,107564,0,3002
505,111075, 0,0,108067,0,3008
506,111715, 0,0,108596,0,3119
507,112127, 0,0,109085,0,3042
508,112674, 0,0,109582,0,3092
509,112910, 0,0,109864,0,3046
510,113652, 0,0,110580,0,3072
511,114137, 0,0,111123,0,3014
512,114425, 0,0,111431,0,2994
513,114969, 0,0,111960,0,3009
514,115447, 0,0,112455,0,2992
515,115914, 0,0,112813,0,3101
516,116452, 0,0,113400,0,3052
517,116783, 0,0,113789,0,2994
518,117405, 0,0,114313,0,3092
519,117741, 0,0,114706,0,3035
520,118257, 0,0,115172,0,3085
521,118793, 0,0,115781,0,3012
522,119253, 0,0,116192,0,3061
523,119687, 0,0,116624,0,3063
524,120123, 0,0,117161,0,2962
525,120863, 0,0,117750,0,3113
526,121100, 0,0,118041,0,3059
527,138487, 16924,0,118467,0,3096
528,138969, 16900,0,118986,0,3083
529,139625, 17037,0,119476,0,3112
530,139944, 16923,0,120046,0,2975
531,140857, 16996,0,120771,0,3090
532,140930, 16703,0,121095,0,3132
533,141150, 16696,0,121488,0,2966
534,141847, 16931,0,121819,0,3097
535,32297, 16943,0,12322,0,3032
536,32265, 16826,0,12351,0,3088
537,32465, 17008,0,12401,0,3056
538,32421, 16886,0,12496,0,3039
539,32456, 16822,0,12617,0,3017
540,32737, 16884,0,12761,0,3092
541,32736, 16870,0,12853,0,3013
542,32874, 17054,0,12791,0,3029
543,33003, 17019,0,12879,0,3105
544,32802, 16669,0,13097,0,3036
545,32934, 16736,0,13150,0,3048
546,33285, 17147,0,13112,0,3026
547,33503, 17141,0,13245,0,3117
548,33571, 17044,0,13428,0,3099
549,33500, 17008,0,13400,0,3092
550,33242, 16722,0,13486,0,3034
551,33254, 16754,0,13454,0,3046
552,33606, 16975,0,13534,0,3097
553,33452, 16699,0,13702,0,3051
554,33625, 16723,0,13856,0,3046
555,33816, 16938,0,13879,0,2999
556,34066, 16905,0,14087,0,3074
557,33784, 16765,0,13971,0,3048
558,33861, 16762,0,14058,0,3041
559,34089, 16916,0,14097,0,3076
560,34387, 17120,0,14168,0,3099
561,34361, 16896,0,14297,0,3168
562,34392, 16767,0,14481,0,3144
563,34725, 17058,0,14621,0,3046
564,34978, 17244,0,14501,0,3233
565,34672, 17032,0,14599,0,3041
566,34958, 16974,0,14953,0,3031
567,34762, 16774,0,15008,0,2980
568,35570, 17458,0,14839,0,3273
569,35753, 17335,0,15168,0,3250
570,35376, 17058,0,15120,0,3198
571,35399, 17294,0,15133,0,2972
572,35636, 17299,0,15223,0,3114
573,35698, 17135,0,15350,0,3213
574,35427, 17032,0,15329,0,3066
575,35700, 17098,0,15515,0,3087
576,35676, 17031,0,15562,0,3083
577,35510, 16903,0,15540,0,3067
578,35640, 17039,0,15619,0,2982
579,35746, 16915,0,15858,0,2973
580,35814, 16918,0,15826,0,3070
581,35777, 16738,0,15901,0,3138
582,36100, 17053,0,15953,0,3094
583,35978, 16832,0,15990,0,3156
584,36602, 17261,0,16336,0,3005
585,36421, 17052,0,16311,0,3058
586,37445, 17518,0,16642,0,3285
587,37156, 17537,0,16660,0,2959
588,36266, 16858,0,16414,0,2994
589,37071, 17445,0,16527,0,3099
590,36667, 16838,0,16838,0,2991
591,36521, 16780,0,16780,0,2961
592,36897, 16911,0,16911,0,3075
593,37580, 17468,0,17009,0,3103
594,36997, 16982,0,16982,0,3033
595,37323, 17126,0,17126,0,3071
596,37443, 17117,0,17117,0,3209
597,37335, 16906,0,17259,0,3170
598,37197, 16686,0,17382,0,3129
599,37654, 17122,0,17440,0,3092
600,37677, 17006,0,17592,0,3079
601,37347, 16727,0,17592,0,3028
602,37387, 16745,0,17611,0,3031
603,37359, 16732,0,17598,0,3029
604,37649, 16733,0,17887,0,3029
605,37694, 16783,0,17866,0,3045
606,38172, 17156,0,18014,0,3002
607,38400, 17238,0,18161,0,3001
608,38270, 17115,0,18065,0,3090
609,38327, 16991,0,18150,0,3186
610,38988, 17232,0,18525,0,3231
611,38252, 16756,0,18520,0,2976
612,38378, 16777,0,18455,0,3146
613,38311, 16748,0,18423,0,3140
614,38501, 16673,0,18866,0,2962
615,38853, 17019,0,18811,0,3023
616,38837, 16896,0,18773,0,3168
617,39533, 17519,0,18902,0,3112
618,39205, 16953,0,19073,0,3179
619,39628, 17221,0,19178,0,3229
620,39555, 17379,0,19189,0,2987
621,39432, 17207,0,18999,0,3226
622,39528, 17113,0,19346,0,3069
623,39437, 17054,0,19185,0,3198
624,39408, 16831,0,19421,0,3156
625,39459, 16811,0,19613,0,3035
626,39933, 17148,0,19689,0,3096
627,39729, 16926,0,19747,0,3056
628,39766, 17163,0,19615,0,2988
629,39554, 16756,0,19656,0,3142
630,39859, 17061,0,19709,0,3089
631,39999, 17041,0,19881,0,3077
632,40104, 16993,0,20052,0,3059
633,40339, 17142,0,20123,0,3074
634,40078, 16969,0,20095,0,3014
635,40308, 17066,0,20210,0,3032
636,40222, 16842,0,20388,0,2992
637,40862, 17115,0,20538,0,3209
638,40695, 17085,0,20407,0,3203
639,40777, 17119,0,20448,0,3210
640,40826, 16942,0,20707,0,3177
641,40969, 17155,0,20767,0,3047
642,41138, 17171,0,20748,0,3219
643,41500, 17315,0,21080,0,3105
644,41011, 16970,0,20859,0,3182
645,41008, 16681,0,21199,0,3128
646,41386, 17244,0,21038,0,3104
647,24390, 0,0,21209,0,3181
648,24367, 0,0,21339,0,3028
649,24368, 0,0,21226,0,3142
650,24294, 0,0,21324,0,2970
651,24385, 0,0,21425,0,2960
652,24826, 0,0,21661,0,3165
653,24770, 0,0,21716,0,3054
654,24893, 0,0,21790,0,3103
655,21761, 0,0,21761,0,0
656,21857, 0,0,21857,0,0
657,22122, 0,0,22122,0,0
658,22310, 0,0,22310,0,0
659,0, 0,0,0,0,0
660,0, 0,0,0,0,0
661,0, 0,0,0,0,0
662,0, 0,0,0,0,0
663,0, 0,0,0,0,0
664,0, 0,0,0,0,0
665,0, 0,0,0,0,0
666,0, 0,0,0,0,0
667,0, 0,0,0,0,0
668,0, 0,0,0,0,0
669,0, 0,0,0,0,0
670,0, 0,0,0,0,0
671,0, 0,0,0,0,0
672,0, 0,0,0,0,0
673,0, 0,0,0,0,0
674,0, 0,0,0,0,0
675,0, 0,0,0,0,0
676,0, 0,0,0,0,0
677,0, 0,0,0,0,0
678,0, 0,0,0,0,0
679,26219, 0,0,0,1447,24772
680,26230, 0,0,0,1431,24799
681,26145, 0,0,0,1324,24821
682,26114, 0,0,0,1348,24766
683,26193, 0,0,0,1352,24841
684,26157, 0,0,0,1308,24849
685,26253, 0,0,0,1391,24862
686,26367, 0,0,0,1465,24902
687,26259, 0,0,0,1342,24917
688,26275, 0,0,0,1415,24860
689,26084, 0,0,0,1343,24741
690,26131, 0,0,0,1329,24802
691,26214, 0,0,0,1311,24903
692,26274, 0,0,0,1359,24915
693,26203, 0,0,0,1344,24859
694,26059, 0,0,0,1303,24756
695,26243, 0,0,0,1470,24773
696,26320, 0,0,0,1417,24903
697,26312, 0,0,0,1428,24884
698,26208, 0,0,0,1456,24752
699,26403, 0,0,0,1515,24888
700,26304, 0,0,0,1497,24807
701,26080, 0,0,0,1333,24747
702,26296, 0,0,0,1393,24903
703,26088, 0,0,0,1346,24742
704,26203, 0,0,0,1371,24832
705,26251, 0,0,0,1366,24885
