hour,totalConsumption,group1,group2,group3,group4,group5
0,106263, 16975,9183,31999,41219,6887
1,106556, 16843,9252,32414,41251,6796
2,106512, 16943,9148,32537,41163,6721
3,106900, 16862,9167,32790,41255,6826
4,106980, 16685,9166,33162,41170,6797
5,107526, 16956,9127,33415,41221,6807
6,107781, 16789,9203,33777,41186,6826
7,107674, 16712,9182,33907,41170,6703
8,108201, 16706,9241,34248,41192,6814
9,108556, 16572,9265,34641,41258,6820
10,108740, 16533,9255,34927,41214,6811
11,109344, 16812,9246,35188,41253,6845
12,110051, 17035,9370,35630,41202,6814
13,110271, 16955,9365,35958,41122,6871
14,110571, 16896,9402,36244,41182,6847
15,110561, 16792,9337,36336,41148,6948
16,111388, 16938,9441,36794,41342,6873
17,111494, 17023,9391,36982,41274,6824
18,111973, 16931,9485,37468,41269,6820
19,112533, 17204,9431,37574,41308,7016
20,112534, 16996,9474,37894,41274,6896
21,112764, 16873,9528,38254,41237,6872
22,113787, 17269,9637,38544,41398,6939
23,113505, 16913,9547,38868,41222,6955
24,113633, 16784,9537,39158,41288,6866
25,114102, 16896,9610,42972,37738,6886
26,114265, 16971,9530,43212,37697,6855
27,114179, 16660,9574,43486,37645,6814
28,114676, 16687,9494,43828,37690,6977
29,114809, 16770,9556,43876,37733,6874
30,115202, 16826,9599,44240,37634,6903
31,115579, 16694,9604,44552,37714,7015
32,115912, 16788,9594,44865,37695,6970
33,116240, 16712,9620,45297,37684,6927
34,116673, 16843,9686,45478,37718,6948
35,116622, 16565,9664,45786,37705,6902
36,117221, 16540,9688,46283,37767,6943
37,117992, 16964,9741,46655,37674,6958
38,118276, 16888,9828,46922,37683,6955
39,118305, 16808,9780,46945,37709,7063
40,118891, 17147,9757,47306,37697,6984
41,118182, 16412,9817,47331,37697,6925
42,119004, 16622,9959,47716,37722,6985
43,119035, 16473,9826,47976,37715,7045
44,119778, 16772,9862,48300,37739,7105
45,120150, 16647,9943,48707,37802,7051
46,119993, 16487,9950,48892,37735,6929
47,120272, 16430,9871,49155,37761,7055
48,120435, 16380,9935,49410,37661,7049
49,120720, 16393,9971,49670,37712,6974
50,121097, 16482,9876,50100,37673,6966
51,121423, 16324,10017,50453,37618,7011
52,122152, 16689,10043,50684,37666,7070
53,122117, 16357,10037,51003,37694,7026
54,122662, 16459,10040,51353,37651,7159
55,122644, 16341,9995,51457,37680,7171
56,123496, 16399,10195,51859,37730,7313
57,124403, 16915,10367,52107,37853,7161
58,125485, 17138,10381,52732,37818,7416
59,126329, 17350,10662,52773,37953,7591
60,126776, 17178,10651,53597,37878,7472
61,127175, 17415,10381,53918,37926,7535
62,126251, 16617,10462,54164,37853,7155
63,127522, 16748,10559,54614,37956,7645
64,127231, 17025,10548,54409,37753,7496
65,127664, 17065,10501,54808,37906,7384
66,127049, 16460,10434,54964,37917,7274
67,127751, 16737,10460,55442,37854,7258
68,128228, 16680,10425,55774,37921,7428
69,128024, 16742,10286,55969,37851,7176
70,128408, 16622,10448,56280,37756,7302
71,128327, 16485,10406,56462,37710,7264
72,124227, 16399,6196,56670,37719,7243
73,124316, 16276,6147,56964,37788,7141
74,125065, 16590,6180,57220,37837,7238
75,125513, 16561,6210,57784,37668,7290
76,125979, 16528,6428,57847,38014,7162
77,125944, 16394,6415,58094,37824,7217
78,126423, 16517,6366,58502,37811,7227
79,126740, 16533,6407,58694,37976,7130
80,127649, 16653,6366,59263,38020,7347
81,128627, 16741,6558,59709,38086,7533
82,129489, 17135,6603,59971,38285,7495
83,129785, 16973,6641,60511,38189,7471
84,130262, 17141,6607,60712,38302,7500
85,130421, 17435,6538,60685,38220,7543
86,131347, 17116,6698,61767,38232,7534
87,130813, 17182,6638,61306,38073,7614
88,131918, 17353,6508,61916,38451,7690
89,131431, 16806,6759,62107,38361,7398
90,131767, 17176,6680,62345,38171,7395
91,131342, 16893,6616,62222,38009,7602
92,130401, 15907,6414,62860,37908,7312
93,130636, 17946,6598,60963,37805,7324
94,132254, 18602,6482,61723,37837,7610
95,131264, 18113,6503,61539,37794,7315
96,105407, 18055,6463,61962,11695,7232
97,105682, 18102,6566,62113,11580,7321
98,105784, 18072,6429,62385,11599,7299
99,106214, 17988,6525,62786,11640,7275
100,106626, 18157,6537,63004,11575,7353
101,107317, 18519,6574,63335,11667,7222
102,104821, 18478,3604,63751,11642,7346
103,104395, 17659,3612,64012,11588,7524
104,105165, 18480,3581,64220,11608,7276
105,106280, 18316,3693,64995,11743,7533
106,106491, 18023,3812,65159,11698,7799
107,107573, 18791,3946,65388,11838,7610
108,107685, 18615,3909,65895,11727,7539
109,107932, 18247,3832,66420,11770,7663
110,107991, 19030,3996,65841,11703,7421
111,109094, 19305,3821,66361,11764,7843
112,109118, 19194,3839,66795,11804,7486
113,109701, 19061,4003,67479,11723,7435
114,109660, 19100,3787,67508,11608,7657
115,109445, 18377,3853,67875,11782,7558
116,109268, 18133,6934,68001,8600,7600
117,109965, 18327,7008,68459,8692,7479
118,110753, 18950,7035,68619,8613,7536
119,109866, 18243,6899,68762,8595,7367
120,109804, 15979,6966,70880,8604,7375
121,110835, 16260,6955,71361,8672,7587
122,110646, 16228,7007,71367,8575,7469
123,111101, 16288,7034,71815,8607,7357
124,111288, 15983,6993,72128,8691,7493
125,111830, 16006,7056,72657,8687,7424
126,112207, 16181,7031,72815,8668,7512
127,112327, 15773,7120,73168,8708,7558
128,113253, 15998,7199,73857,8599,7600
129,112834, 15714,7129,73622,8730,7639
130,114413, 16511,7179,74301,8615,7807
